Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,site.code ,orchard.type,Orchard.num,Tree,Tissue,TCA,pb1,gentistic.acid,catechin,c.gala,chl.acid,caf.acid,pb2,syr.acid,epicatechin,p.coum,ferulic,rutin,hyperin,isoquercitin,reynoutrin,avicularin,quercitrin,phloridzin,quercetin,phloretin,U1,U2
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,5,SKIN,869.6008188,1901.95689,0,0,0,11808.4224,19.85803648,5979.775281,851.4267544,8193.448917,0,0,349.5733726,4466.883764,3044.983797,3029.603122,5870.785697,6032.947073,3560.659011,0,0,55.29977495,132.1851715
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,1,PULP,863.8535841,0,0,0,0,550.7515006,21.7645974,0,0,0,0,0,686.9671087,0,0,0,0,434.4290163,0,0,0,20.14859283,0
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,2,PULP,855.1585304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,3,PULP,844.1132638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,4,PULP,846.2151394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22271077,0
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,5,PULP,818.8915663,0,0,0,0,780.7525468,45.50344729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1682465,0
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,1,SEED,844.1132638,0,0,0,0,8762.166184,0,938.1202716,0,1130.975565,0,0,0,0,0,111.2277767,0,0,43801.84409,0,15.15075117,6.894998008,30.6321688
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,2,SEED,865.6138563,0,265.1240583,246.6147887,0,7900.17691,0,403.9450429,0,562.014936,0,0,0,0,0,128.1619365,0,0,51122.85352,0,0,0,19.94296935
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,3,SEED,810.3004292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5848746,0,0
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,4,SEED,810.6870229,0,0,0,0,18287.17862,257.9510649,3734.859876,0,1946.567359,0,0,0,0,0,0,0,622.0663301,65092.2345,0,72.5096335,0,35.19894876
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,5,SEED,856.4516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3397.748923,0,15.81202024,0,0
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,1,SKIN,841.1881188,1316.412459,0,0,2336.356182,3586.842968,0,10766.10379,589.9256578,11711.70143,0,0,2048.46238,27230.82744,4168.193818,5169.840176,11899.46423,16709.64472,2000.00444,2.753885928,0,49.59641212,170.9738107
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,2,SKIN,863.8535841,0,0,0,1661.936749,3873.084691,0,9844.094396,0,10358.97141,0,0,854.35645,14829.62121,2467.977196,3210.33916,7780.61287,10600.32774,2052.718415,7.605693194,0,49.38469425,151.6279388
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,4,SKIN,868.2677568,0,497.381061,0,0,3721.945235,0,9462.967534,577.1023204,986.400282,0,0,0,3459.486501,0,1454.662878,3554.979622,3837.849936,2798.196429,0,0,23.65264426,0
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,3,SKIN,832.9411765,0,0,0,0,1065.645957,0,496.2391884,334.9217188,889.2702277,0,0,226.7656152,4164.224918,1383.478447,1744.991235,3994.965587,6408.766298,0,35.78953241,0,58.87744286,163.9645216
