site.code ,orchard.num,orchard.type,Tree,apple.wgt.3,bag.weight,Firmness, SSC,maturity.index
I,16,Organic ,16_3,153,10,21.1,8.5,3
I,16,Organic ,16_4,165,10,20.9,8.5,3
I,16,Organic ,16_5,146,10,19.2,9,3
J,17,Conventional ,17_1,312,10,22.7,8.5,3
J,17,Conventional ,17_2,261,10,20.9,9,3
J,17,Conventional ,17_3,289,11,21.3,9,3
J,17,Conventional ,17_4,352,11,21.3,8.5,3
J,17,Conventional ,17_5,309,11,22.6,9,3
K,18,Conventional ,18_1,297,11,28.1,9,3
K,18,Conventional ,18_2,416,11,24.2,9,4
K,18,Conventional ,18_3,267,11,25.8,9.5,3
K,18,Conventional ,18_4,343,10,26.5,10.5,3
K,18,Conventional ,18_5,162,11,26,10.5,4
L,19,Organic ,19_1,314,11,21.9,8,3
L,19,Organic ,19_2,286,11,27.6,10.5,3
L,19,Organic ,19_3,331,11,26.6,10,3
L,19,Organic ,19_4,337,11,30.5,9,3
L,19,Organic ,19_5,259,11,26.5,8.5,3
L,20,Conventional ,20_1,287,11,29.6,11,3
L,20,Conventional ,20_2,433,10,30,11,4
L,20,Conventional ,20_3,317,11,28.7,11.5,3
L,20,Conventional ,20_4,375,11,30.6,10,3
L,20,Conventional ,20_5,286,11,31.9,12.5,4
M,21,Organic ,21_1,347,11,28.6,9.5,4
M,21,Organic ,21_2,358,10,33.1,9,3
M,21,Organic ,21_3,363,11,30.3,8.5,4
M,21,Organic ,21_4,316,10,28.8,8.5,3
M,21,Organic ,21_5,422,11,30.7,9.5,3
M,22,Conventional ,22_1,348,11,25.5,8.5,3
M,22,Conventional ,22_2,346,11,25.8,8.5,3
M,22,Conventional ,22_3,355,11,27.8,8.5,3
M,22,Conventional ,22_4,388,10,26.9,9,3
M,22,Conventional ,22_5,375,11,27.3,8.5,3
N,23,Organic ,23_1,435,11,21,9,4
N,23,Organic ,23_2,397,11,27.1,9,3
N,23,Organic ,23_3,362,11,26.7,9.5,4
N,23,Organic ,23_4,372,11,25.5,9.5,4
N,23,Organic ,23_5,382,11,24.9,9.5,5
P,24,Organic ,24_1,137,11,31.4,9.5,5
P,24,Organic ,24_2,102,11,30.1,10.5,5
P,24,Organic ,24_3,140,11,31.9,10.5,5
P,24,Organic ,24_4,115,11,33.6,10.5,5
P,24,Organic ,24_5,139,11,30.3,11,5
