Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,site.code ,orchard.type,Orchard_Num,Plant,Tissue,trans.cinnamic.acid,gallic acid,procyanidin B1,gentistic acid,catechin,cyanidin galactoside,chlorogenic acid,glucoside,caffeic acid??,procyanidin B2,syringic acid,epicatechin,p-coumaric,ferulic,rutin,hyperin,isoquercitin,reynoutrin,avicularin,quercitrin,phloridzin,quercetin,phloretin
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,1,SKIN,846.2151394,0,2826.799586,0,0,0,51456.13067,0,2459.84644,9150.983193,4353.405515,11550.18901,0,0,5260.549902,185481.8979,23518.91813,37418.25158,82762.38981,35033.2153,9856.492113,1906.420504,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,2,SKIN,862.1004566,0,0,0,0,0,53835.49992,0,1833.592037,7582.810132,2738.094161,7599.597826,0,0,5470.814397,266935.5778,34817.28372,63408.33146,141468.891,132375.4195,7396.149567,3110.684517,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,3,SKIN,805.6899004,0,4865.161842,0,9202.489405,0,65376.46612,0,2867.722787,14942.63876,2605.941659,14228.67642,0,0,13607.40966,265968.6356,37991.99402,49780.24819,107847.0836,49913.8534,22929.82341,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,4,SKIN,862.97613,0,0,2636.429618,6076.413831,0,94061.14889,0,5878.230795,15706.84388,1287.605075,14998.09739,0,0,49884.67176,8685.709443,12959.35155,1265.427668,28204.11237,9716.055091,47879.46172,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,5,SKIN,830.9046455,0,3219.949458,0,0,0,54298.24532,0,2385.582741,10242.79794,3741.096576,16167.56204,0,0,2025.097024,68684.67526,9355.343441,18451.91283,40970.60276,21244.87619,21076.68972,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,1,PULP,871.8317086,0,0,0,0,0,101925.595,0,3613.919143,0,0,2237.981826,0,0,0,0,0,0,0,0,7641.28257,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,3,PULP,837.044335,0,0,0,0,0,129461.8788,0,3150.559692,3726.828863,0,7666.322503,0,0,0,0,0,0,0,0,13515.70249,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,4,PULP,834.5776031,0,0,2720.675911,1977.753955,0,275529.1803,0,2642.085063,4595.285817,2181.462929,7302.101969,0,0,0,0,0,0,0,0,7702.291834,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,5,PULP,847.0588235,0,19330.56427,0,9026.609006,0,942267.1517,0,12267.07085,39509.87592,0,41623.80405,5832.19654,0,0,0,0,0,2574.87628,0,16974.60238,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,1,SEED,871.3846154,0,0,0,0,0,247379.3719,0,6315.593841,9169.452932,2709.851684,10006.50346,0,0,0,1692.482736,0,2514.371552,3624.741747,1268.116205,960631.0546,0,931.2156798
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,2,SEED,813.4035424,0,0,0,1624.304813,0,294068.1685,0,5375.123981,20191.645,3988.474091,15128.91602,0,0,0,0,0,2558.514703,3219.734501,1198.334476,966494.9487,856.330344,1681.997621
